ISSN,SJR_Q,SJR_H,VHB,FNEGE,CoNRS,HCERE,CORE,sourc,DAEN,AJG,JCR,SNIP,SJR,CiteS,ABDC,VHB4,NF
24694312,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,
20349130,NA,NA,NA,3,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'@GRH
22959149,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'@GRH
21534721,Q4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Marine Technology
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,100 Danmarkshistorier
16035194,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16:9
10653112,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1650 - 1850: Ideas, Aesthetics and Inquiries in the Early Modern Era"
01482076,Q3,20,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19th Century Music
20531583,Q1,77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2D materials
2190572X,Q2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Biotech
21905738,Q2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Biotech
23297662,Q1,32,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3D Printing and Additive Manufacturing
23297670,Q1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3D Printing and Additive Manufacturing
23656271,Q4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3D Printing in Medicine
20926731,Q3,26,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3D Research
01285157,Q1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3L: Language, Linguistics, Literature"
25502247,Q1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3L: Language, Linguistics, Literature"
20133294,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452F
16142411,Q2,43,NA,NA,NA,NA,NA,NA,NA,2,33,28,23,29,B,NA,4OR
16194500,Q2,43,C,NA,3,B,NA,NA,1,NA,NA,NA,NA,NA,B,NA,4OR
03899160,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A + U-Architecture and Urbanism
22408436,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"A 10 Scienze dell'Antichita, Filologico - Letterarie e Storico - Artistiche"
16628667,Q2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Contrario
16607880,Q2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Contrario
22457755,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,A Peer-Reviewed Journal About
25753126,Q4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A&amp;A practice
08989575,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,a/b: Auto/Biography Studies
21517290,Q1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a/b: Auto/Biography Studies
13028324,Q1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A|Z ITU Journal of Faculty of Architecture
01715410,Q1,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,AAA - Arbeiten aus Anglistik und Amerikanistik
14773848,Q1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAC: Augmentative and Alternative Communicatio
07434618,Q1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAC: Augmentative and Alternative Communicatio
15287106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,AACE International Transactions
18449166,Q3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AACL Bioflux
18448143,Q3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AACL Bioflux
15597776,Q3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AACN Advanced Critical Care
15597768,Q3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AACN Advanced Critical Care
00946354,Q2,33,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,AANA Journal
21625239,Q2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AANA Journal
23755776,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAO Journal
23755717,Q4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAO Journal
01491423,Q1,142,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,AAPG Bulleti
02718529,Q3,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAPG Memoir
03650359,Q3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali"
18251242,Q3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali"
22107371,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,AAPS Advances In The Pharmaceutical Sciences Series
15507416,Q1,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAPS Journal
15309932,Q2,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAPS PharmSciTech
0084585X,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Aarboeger for Nordisk Oldkyndighed og Historie
18924786,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Aarbok Norsk Maritimt Museum.
13992686,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Aarhus Studies in Mediterranean Antiquity
24723444,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AATCC Journal of Research
23305517,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AATCC Journal of Research
23305525,Q4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AATCC Review
15328813,Q4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AATCC Review
24710938,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ab-Original: Journal of Indigenous Studies and First Nations' and First Peoples' Cultures
21664072,Q2,11,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Ab Imperio
21649731,Q2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ab Imperio
07470088,Q4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABA Journal
08580855,Q1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABAC Journal
14676281,Q2,48,NA,2,NA,NA,NA,NA,NA,3,16,34,26,26,A,NA,Abacus
00013072,Q2,48,B,2,3,A,NA,NA,2,NA,NA,NA,NA,NA,A,NA,Abacus
23660058,Q1,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abdominal Radiology
2366004X,Q1,76,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abdominal Radiology
